t, intensity
51.67975994,0.974323538
51.74973748,0.966886464
51.75477587,0.958712492
51.80012131,0.951296599
51.80012131,0.943545351
51.80012131,0.935794102
51.80012131,0.928042854
51.8051597,0.911904278
51.82531323,0.919988568
51.85050514,0.895541174
51.85330424,0.903625218
51.85330424,0.88813055
51.89729013,0.848354854
51.90088897,0.870350331
51.92150054,0.87931901
51.92608089,0.86275603
51.92608089,0.854975421
51.94440228,0.840210762
51.9484737,0.830890104
51.9512728,0.822610401
51.9512728,0.814859152
51.97646472,0.807284426
51.97646472,0.799454882
52.00445574,0.781484518
52.03600924,0.789893006
52.05707885,0.764179819
52.06211723,0.773109681
52.08982834,0.754583416
52.17800004,0.744328717
52.22838387,0.732810968
52.26617174,0.719888804
52.30395961,0.697802686
52.308998,0.682227837
52.32915153,0.70735998
52.32915153,0.6901638
52.34034794,0.673756715
52.35434344,0.66547717
52.35434344,0.649974673
52.35938183,0.61872312
52.37953536,0.657518796
52.37953536,0.642360799
52.37953536,0.634609551
52.37953536,0.626858302
52.39139038,0.607146442
52.40976566,0.58106686
52.4164835,0.59211131
52.45511111,0.561453321
52.46014949,0.545616182
52.48030302,0.570898066
52.48030302,0.55374745
52.50549494,0.537847961
52.50549494,0.530096712
52.50549494,0.522345463
52.51053332,0.506349777
52.53068685,0.514428194
52.57099391,0.495434292
52.65435625,0.484143849
52.68183834,0.475047732
52.72214541,0.463694719
52.73222217,0.442125214
52.73609785,0.451632895
52.74138287,0.433287924
52.75741409,0.4236087
52.76886496,0.398657529
52.782606,0.414879116
52.782606,0.407076975
52.80779792,0.379480148
52.80779792,0.371728899
52.80779792,0.348475153
52.8128363,0.324782829
52.81924879,0.388504749
52.82706232,0.312371672
52.83298983,0.363987795
52.83298983,0.356040808
52.83298983,0.340694901
52.83298983,0.332943653
52.84484485,0.29772469
52.85818175,0.271579959
52.86322013,0.255992974
52.86993797,0.282725482
52.88337366,0.264178601
52.89522868,0.244171324
52.91136468,0.216073161
52.93375749,0.231676194
52.93375749,0.223566353
52.93375749,0.320026335
52.95615031,0.208142469
52.95894941,0.199970422
52.95894941,0.192219173
52.95894941,0.184467925
52.96734671,0.176589565
52.99330202,0.168045054
53.08490898,0.158573495
53.33682813,0.150972623
53.41744226,0.128295493
53.45648973,0.139354788
53.46782609,0.108213427
53.48078193,0.117897638
53.53836345,0.089050314
53.53836345,0.081249478
53.56355537,0.07331655
53.56355537,0.065565301
53.56355537,0.057814053
53.56355537,0.050062804
53.56549321,0.098826587
53.56859375,0.041765517
53.6139392,0.034296775
53.61897758,0.025782217
53.66432303,0.014293005
53.7818853,0.002853751
54.34450474,0.001988915
54.88322415,0.003965659
54.89872687,0.012118242
54.92391879,0.032543922
54.92391879,0.02480246
54.92895717,0.018319669
54.9491107,0.066950231
54.9491107,0.040022581
54.9491107,0.095092549
54.96096572,0.051048078
55.01134955,0.08459194
55.02468645,0.075098923
55.02468645,0.115616813
55.02468645,0.107865564
55.02468645,0.100114316
55.07339082,0.125852675
55.10026219,0.136689145
55.15064602,0.058629306
55.16744063,0.147487039
55.53572244,0.156154535
55.5738702,0.165013646
55.62509376,0.173965219
55.62929241,0.251096074
55.62929241,0.243344825
55.62929241,0.235593576
55.62929241,0.227842328
55.62929241,0.220091079
55.62929241,0.212339831
55.62929241,0.204588582
55.62929241,0.196837334
55.62929241,0.189086085
55.62929241,0.182421186
55.65448432,0.274183799
55.65448432,0.266389053
55.65448432,0.258994483
55.66393129,0.285052318
55.67463786,0.310693248
55.67967624,0.302008398
55.68807354,0.295284896
55.70486815,0.328568526
55.71746411,0.339510003
55.72318955,0.319937781
55.73006007,0.358381829
55.73365891,0.374554882
55.75525198,0.350973481
55.75861091,0.383626641
55.76364929,0.393233563
55.76899303,0.366356238
55.7804439,0.43888983
55.7804439,0.431138581
55.7804439,0.423387333
55.7804439,0.415636084
55.7804439,0.407884836
55.7804439,0.400133587
55.80563581,0.457871938
55.82578935,0.446631152
55.85601964,0.472758573
55.97022299,0.486227987
56.01556844,0.495001635
56.05755497,0.46487806
56.06091389,0.504592686
56.08274688,0.544416797
56.08274688,0.536665549
56.08274688,0.5289143
56.08274688,0.521163051
56.09114419,0.514556993
56.09534284,0.600525445
56.1079388,0.567837278
56.1079388,0.559789625
56.1079388,0.552373928
56.11513649,0.593000975
56.11979381,0.578797426
56.15832263,0.628477811
56.17091858,0.619133918
56.17664402,0.607584373
56.18351454,0.664210249
56.18351454,0.640956504
56.18351454,0.633205255
56.20870646,0.656886721
56.20870646,0.649070226
56.22056148,0.67513817
56.23389837,0.70605009
56.23389837,0.698298841
56.23389837,0.690547593
56.23389837,0.684910321
56.26244921,0.715847603
56.2842822,0.730361538
56.30947412,0.724284212
56.33466603,0.74175424
56.50261213,0.751328239
56.51436836,0.760025911
56.53620135,0.777401097
56.5398002,0.770153228
56.58378608,0.788402282
56.61897479,0.802149223
56.63696901,0.823733853
